TNS Name,risetime,risetime_upper,risetime_lower,T_rise,T_rise_upper,T_rise_lower,T_fall,T_fall_upper,T_fall_lower,T_max,T_max_err,t_minus_half,t_minus_half_err,t_plus_half,t_plus_half_err,t_minus_five,t_plus_five,T_explode,T_explode_lower,T_explode_upper,fireball_power,fireball_power_lower,fireball_power_upper
2022aee,36.603031800623285,5.951685606799099,-4.75645589121147,8.276105782499899,1.2380402876334147,-1.221557970781376,70.22730353658034,6.4627062234400015,-6.931028818361156,59608.62028016844,3.625384078199812,59585.38577544175,2.023325582569135,59668.00588692923,3.133935524063504,59555.68519992384,59867.56841947295,59572.01724836782,-1.1310718130116584,2.326301528599288,1.805953703755587,-0.22463893131384327,2.326301528599288
2022adm,28.47959074607934,5.766500533268584,-4.45708563322961,4.543961403511769,0.6031063676574342,-0.6674331929957296,23.010278175159264,1.293950586320154,-1.3852519658686937,59599.56332705765,2.4165336494127705,59587.92497952222,1.0276116974071645,59621.012158752004,1.6163131207121388,59571.2711080501,59682.96081906814,59571.08373631157,-2.04055198381684,3.3499668838558136,1.8748173352633586,-0.18161378703946074,3.3499668838558136
2022rz,40.6262046950651,7.850185850316776,-7.331572482269549,12.3843382663636,4.028068431250155,-4.078802332086177,52.97844044176577,8.536593430992234,-9.553323414816262,59605.28368821606,5.50502894153935,59574.59701399582,9.222101388121278,59656.57867970262,4.254524524774962,59535.09467090181,59781.673826513026,59564.657483521,-1.8265435407301993,2.345156908777426,1.8676978690346848,-0.17376322036170144,2.345156908777426
2021yzv,174.65858044201013,10.985812434616934,-140.79071343696296,24.982465236319804,6.0629870227006215,-5.876347164410561,120.59171795442803,18.163767006969493,-20.028037787167264,59502.32420731281,8.42448840008318,59440.67413063663,11.146146523673714,59611.87221351938,5.375263860025339,59372.64288226653,,59327.6656268708,-132.36622503687977,2.5613240345337545,1.9442797319319132,-0.1477322769214906,2.5613240345337545
2021uvz,47.900316215447674,25.69899914997082,-25.204461150102777,13.38462494527759,3.6592478184091135,-4.010186498748464,143.997223960003,32.74799813485771,-22.52969506628159,59458.42112554542,23.20338892319565,59414.55075965569,7.495788634341428,59556.11714863072,17.257495642546868,59381.42188151703,,59410.52080932997,-2.0010722269071266,2.4956102267751703,1.7713277090780237,-0.2682446722875529,2.4956102267751703
2021uqv,19.777661440377415,23.49147894485968,-22.037663996809258,3.3562517786280828,1.1775980840979532,-1.655601434851135,154.18577009320535,33.24284075487981,-39.540180031783706,59446.865844883134,20.009553059026345,59430.563456135256,6.7963360322959225,59554.127421947895,24.8275385078774,59419.42364648096,,59427.08818344276,-2.0281109377829125,3.481925885833334,1.841408317754023,-0.21072836395279815,3.481925885833334
2021sdu,11.215382695620065,94.27823002954509,-95.32899509121606,0.0457790682289746,0.03179446469775502,-0.04562381985724776,2.4919744984879184,0.8891613165451193,-0.8576285036098548,57598.36302438323,0.2413606998391276,57598.39143953922,0.2497767472244431,57600.35909136504,0.5470202051752263,57598.16144337475,57605.820719991985,57587.14764168761,-95.08763439137692,94.03686932970595,2.014459359495338,-0.08296415940750679,94.03686932970595
2021qxv,35.37258551798732,13.637390636307332,-13.065818817638005,9.149011119156487,3.3296967411775906,-4.144052494381514,141.85709824221806,38.98632580795649,-44.40608084168801,59370.09164097288,11.585251499148812,59340.129170796274,4.699926963153581,59476.17426778167,18.56490289344584,59315.53184083367,,59334.719055454894,-1.480567318489193,2.0521391371585196,1.8303159586037825,-0.22366463640088097,2.0521391371585196
2021nwa,33.3733697277421,15.368125794900406,-11.044137939622741,8.303700513628053,1.8464151907871402,-2.198277973431095,143.22113154684143,21.978193994106164,-22.849690459062202,59399.14257957462,9.314405139056616,59370.95186668645,3.9702411349048843,59506.93849267073,15.667640687335181,59342.79455944489,,59365.769209846876,-1.7297328005661257,6.05372065584379,1.7464470142178914,-0.2708580928285087,6.05372065584379
2021mhg,78.20653066620434,29.17766537005874,-134.7112739161755,5.1727895755730815,3.604848960841127,-4.827727028054123,38.626839464579064,4.36765578760037,-5.312249092194122,59320.35437575516,25.779544173020177,59297.57253231853,22.23998649831469,59334.30945720217,12.361739208402764,59294.35543431863,59438.86253548697,59242.147845088955,-108.9317297431553,3.398121197038563,1.9272162632027081,-0.13402766118563392,3.398121197038563
2021jsg,-0.06459783009631792,176.11169105232202,-241.8115928362482,1.6103992711336024,0.8916253189718016,-1.2071804301439566,7.565767806444067,3.473830601775581,-8.37253225438987,57799.64910755518,173.2895074043432,57802.003583735735,4.622681410072073,57800.90482312717,3.4521400009798247,57797.35676037274,57829.750840044086,57799.71370538528,-68.522085431905,2.822183647978818,1.8532502181851465,-0.1969532095434663,2.822183647978818
2021jjm,15.433657398752985,27.442370221003753,-49.161091131245,2.7299310729384088,2.2012976319007893,-4.368827447603419,68.07139279292184,12.80857010689104,-11.735078523236808,59320.23708671903,23.55317731124475,59309.84676637215,20.596598972440898,59364.68798273158,10.953158746328002,59299.400709200396,59501.81129437074,59304.80342932028,-25.60791382000025,3.8891929097590037,1.8572877925157052,-0.19098862846687825,3.8891929097590037
2021gje,23.332737726734194,9.565166852018612,-7.999965793784233,6.109748246207176,3.5883830007094053,-4.188589267208555,88.99840775839905,20.896723808807238,-27.657827219157653,59299.78777011792,6.83853870952955,59280.83462568434,7.328595657894645,59370.556299912365,8.959987319748242,59258.605959747496,,59276.45503239118,-1.161427084254683,2.726628142489062,1.892548157322648,-0.1804060662246676,2.726628142489062
