         MJD         m       dm    uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask
57745.483943 19.766969      NaN    -12    15 c    0   1.04 105.8277 23.02908  4979.01  6046.70 3.76 3.72   8.0 -0.402    19.65 21.61 02a57745o0549c       0
57745.504980 19.401649      NaN     20    15 c    0   0.96 105.8277 23.02908  4995.42  5931.10 3.82 3.77  54.2 -0.394    19.64 21.63 02a57745o0588c       0
57745.517539 19.719755      NaN      4    15 c    0   1.31 105.8277 23.02908  4961.73  5991.16 4.39 3.86  -1.6 -0.388    19.53 21.58 02a57745o0610c       0
57753.438683 19.696897      NaN    -21    16 c    0   1.13 105.8277 23.02908  2597.04  6745.30 3.78 3.66  59.8 -0.406    19.54 21.48 02a57753o0347c    8192
57753.453179 17.313807      NaN     22   137 c    0   1.03 105.8277 23.02908  2579.46  6706.19 3.80 3.69  62.0 -0.396    17.14 18.92 02a57753o0373c       2
57753.475869 16.761202      NaN   -206   239 c    0   0.93 105.8277 23.02908  2634.93  6786.55 3.73 3.62  58.8 -0.406    16.64 18.37 02a57753o0414c       2
57753.486678 16.226755      NaN    -44   391 c    0   0.79 105.8277 23.02908  2650.48  6670.05 3.74 3.65  64.4 -0.397    16.17 17.87 02a57753o0434c       2
57753.498654 17.664614      NaN     -5   104 c    0   0.95 105.8277 23.02908  2615.37  6731.96 3.75 3.64  57.7 -0.408    17.61 19.35 02a57753o0456c       2
57757.443225 19.922338      NaN     -4    13 c    0   1.21 105.8277 23.02908  4958.79  6780.64 3.61 3.53  77.9 -0.424    19.65 21.52 02a57757o0457c       0
57757.451813 19.743105      NaN      6    14 c    0   1.25 105.8277 23.02908  4922.67  6743.58 3.59 3.52  83.3 -0.427    19.63 21.49 02a57757o0472c       0
57757.460744 19.766969      NaN    -11    15 c    0   1.11 105.8277 23.02908  4995.20  6821.85 3.59 3.53  73.0 -0.432    19.63 21.49 02a57757o0489c       0
57757.483272 19.696897      NaN      0    16 c    0   0.91 105.8277 23.02908  5015.22  6709.05 3.57 3.51  79.5 -0.434    19.59 21.42 02a57757o0530c       0
57757.494018 19.631075      NaN      8    15 c    0   1.00 105.8277 23.02908  4978.56  6762.35 4.00 3.62   0.2 -0.418    19.52 21.40 02a57757o0548c       0
57777.409150 19.631075      NaN      1    17 c    0   0.83 105.8277 23.02908  2214.28  5314.58 3.87 3.74  77.5 -0.390    19.60 21.60 02a57777o0410c       0
57777.425839 19.631075      NaN      8    15 c    0   0.90 105.8277 23.02908  2196.01  5274.91 3.88 3.75  75.8 -0.386    19.58 21.60 02a57777o0440c       0
57777.438760 19.841877      NaN     -6    14 c    0   1.06 105.8277 23.02908  2249.96  5355.76 3.86 3.71  79.4 -0.387    19.59 21.59 02a57777o0463c       0
57777.450234 19.841877      NaN    -22    14 c    0   1.21 105.8277 23.02908  2270.48  5237.16 3.81 3.70  75.1 -0.389    19.58 21.56 02a57777o0483c       0
57777.460056 19.472870      NaN     19    14 c    0   0.92 105.8277 23.02908  2236.17  5297.10 3.75 3.61  82.6 -0.397    19.59 21.55 02a57777o0501c       0
57781.390142 19.841877      NaN    -10    14 c    0   1.20 105.8277 23.02908  2553.96  5583.41 3.82 3.62  61.1 -0.402    19.70 21.69 02a57781o0311c       0
57781.417979 19.589310      NaN     10    15 c    0   0.93 105.8277 23.02908  2538.60  5546.03 3.84 3.66  64.0 -0.398    19.73 21.74 02a57781o0360c       0
57781.427979 19.609992      NaN      9    15 c    0   1.00 105.8277 23.02908  2610.59  5620.15 3.87 3.68  64.2 -0.395    19.71 21.73 02a57781o0378c       0
57781.439073 19.766969      NaN    -10    15 c    0   0.89 105.8277 23.02908  2628.63  5507.70 3.84 3.64  67.2 -0.399    19.71 21.72 02a57781o0398c       0
57781.461196 19.841877      NaN    -12    14 c    0   0.91 105.8277 23.02908  2579.19  5564.31 3.76 3.59  65.2 -0.402    19.70 21.67 02a57781o0437c       0
57805.353070 19.183773      NaN     25    18 c    0   0.86 105.8277 23.02908  2821.33  7911.82 3.80 3.67  41.4 -0.416    19.59 21.52 02a57805o0258c       0
57805.369341 19.766969      NaN    -10    15 c    0   1.12 105.8277 23.02908  2807.34  7870.72 3.82 3.69  40.9 -0.415    19.54 21.48 02a57805o0289c       0
